1734411814.995035 client started (31375): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1734411814.995076 on Linux 6.9.3-76060903-generic #202405300957~1732141768~22.04~f2697e1 SMP PREEMPT_DYNAMIC Wed N
1734411814.996205 sending message 112 to peer 0x5e553a568670 (15 bytes)
1734411814.996208 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996211 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.996213 sending message 112 to peer 0x5e553a568670 (70 bytes)
1734411814.996216 sending message 112 to peer 0x5e553a568670 (69 bytes)
1734411814.996219 sending message 112 to peer 0x5e553a568670 (34 bytes)
1734411814.996221 sending message 112 to peer 0x5e553a568670 (34 bytes)
1734411814.996227 sending message 112 to peer 0x5e553a568670 (69 bytes)
1734411814.996230 sending message 112 to peer 0x5e553a568670 (12 bytes)
1734411814.996232 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996235 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996238 sending message 112 to peer 0x5e553a568670 (15 bytes)
1734411814.996240 sending message 112 to peer 0x5e553a568670 (11 bytes)
1734411814.996243 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996245 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996248 sending message 112 to peer 0x5e553a568670 (17 bytes)
1734411814.996251 sending message 112 to peer 0x5e553a568670 (10 bytes)
1734411814.996253 sending message 112 to peer 0x5e553a568670 (13 bytes)
1734411814.996256 sending message 112 to peer 0x5e553a568670 (17 bytes)
1734411814.996258 sending message 112 to peer 0x5e553a568670 (5 bytes)
1734411814.996261 sending message 112 to peer 0x5e553a568670 (9 bytes)
1734411814.996264 sending message 112 to peer 0x5e553a568670 (15 bytes)
1734411814.996267 sending message 104 to peer 0x5e553a568670 (0 bytes)
1734411814.996273 sending message 110 to peer 0x5e553a568670 (0 bytes)
1734411814.996276 sending message 107 to peer 0x5e553a568670 (4 bytes)
1734411814.996279 sending message 105 to peer 0x5e553a568670 (20 bytes)
1734411814.996282 sending message 105 to peer 0x5e553a568670 (54 bytes)
1734411814.996285 sending message 105 to peer 0x5e553a568670 (19 bytes)
1734411814.996287 sending message 105 to peer 0x5e553a568670 (11 bytes)
1734411814.996290 sending message 105 to peer 0x5e553a568670 (14 bytes)
1734411814.996292 sending message 105 to peer 0x5e553a568670 (52 bytes)
1734411814.996295 sending message 105 to peer 0x5e553a568670 (19 bytes)
1734411814.996298 sending message 105 to peer 0x5e553a568670 (28 bytes)
1734411814.996300 sending message 105 to peer 0x5e553a568670 (18 bytes)
1734411814.996303 sending message 105 to peer 0x5e553a568670 (41 bytes)
1734411814.996309 sending message 105 to peer 0x5e553a568670 (63 bytes)
1734411814.996312 sending message 105 to peer 0x5e553a568670 (16 bytes)
1734411814.996315 sending message 105 to peer 0x5e553a568670 (60 bytes)
1734411814.996320 sending message 105 to peer 0x5e553a568670 (18 bytes)
1734411814.996323 sending message 105 to peer 0x5e553a568670 (17 bytes)
1734411814.996325 sending message 105 to peer 0x5e553a568670 (15 bytes)
1734411814.996329 sending message 105 to peer 0x5e553a568670 (129 bytes)
1734411814.996332 sending message 105 to peer 0x5e553a568670 (472 bytes)
1734411814.996335 sending message 105 to peer 0x5e553a568670 (57 bytes)
1734411814.996338 sending message 105 to peer 0x5e553a568670 (19 bytes)
1734411814.996340 sending message 105 to peer 0x5e553a568670 (18 bytes)
1734411814.996343 sending message 105 to peer 0x5e553a568670 (19 bytes)
1734411814.996346 sending message 105 to peer 0x5e553a568670 (8 bytes)
1734411814.996349 sending message 105 to peer 0x5e553a568670 (22 bytes)
1734411814.996351 sending message 105 to peer 0x5e553a568670 (17 bytes)
1734411814.996354 sending message 105 to peer 0x5e553a568670 (58 bytes)
1734411814.996356 sending message 105 to peer 0x5e553a568670 (18 bytes)
1734411814.996362 sending message 105 to peer 0x5e553a568670 (26 bytes)
1734411814.996364 sending message 105 to peer 0x5e553a568670 (36 bytes)
1734411814.996367 sending message 105 to peer 0x5e553a568670 (13 bytes)
